Flight No.,Date and time ( UTC ),"Version, Booster   [ b ]",Launch site,Payload [ c ],Payload mass,Orbit,Customer,Launch outcome,Booster landing,Payload,Version Booster,Date,Time
1,,,CCAFS,,,LEO,SpaceX,Success,Failure[9][10](parachute),Dragon Spacecraft Qualification Unit,F9 B5,6 June 2021,04:26
2,,,CCAFS,,,LEO (ISS),"NASA (COTS)
NRO",Success[9],Failure[9][14](parachute),Dragon,F9 v1.07B0003.18,4 June 2010,18:45
3,,,CCAFS,,"525 kg (1,157 lb)[19]",LEO (ISS),NASA (COTS),Success[20],No attempt,Dragon,F9 v1.07B0004.18,8 December 2010,15:43
4,,,CCAFS,,"4,700 kg (10,400 lb)",LEO (ISS),NASA (CRS),Success,No attempt,SpaceX CRS-1,F9 v1.07B0005.18,22 May 2012,07:44
5,,,CCAFS,,"4,877 kg (10,752 lb)",LEO (ISS),NASA (CRS),Success,No attempt,SpaceX CRS-2,F9 v1.07B0006.18,8 October 2012,00:35
6,,,VAFB,,"500 kg (1,100 lb)",Polar orbit LEO,MDA,Success[30],Uncontrolled(ocean)[d],CASSIOPE,F9 v1.07B0007.18,1 March 2013,15:10
7,,,CCAFS,,"3,170 kg (6,990 lb)",GTO,SES,Success[37],No attempt[38],SES-8,F9 v1.17B10038,29 September 2013,16:00
8,,,CCAFS,,"3,325 kg (7,330 lb)",GTO,Thaicom,Success[42],No attempt[43],Thaicom 6,F9 v1.1,3 December 2013,22:41
9,,,Cape Canaveral,,"2,296 kg (5,062 lb)[45]",LEO (ISS),NASA (CRS),Success,Controlled(ocean) [d][46],SpaceX CRS-3,F9 v1.1,6 January 2014,22:06
10,,,Cape Canaveral,,"1,316 kg (2,901 lb)",LEO,Orbcomm,Success[51],Controlled(ocean)[d][46],Orbcomm-OG2,F9 v1.1,18 April 2014,19:25
11,,,Cape Canaveral,,"4,535 kg (9,998 lb)",GTO,AsiaSat,Success[56],No attempt[57],AsiaSat 8,F9 v1.1,14 July 2014,15:15
12,,,Cape Canaveral,,"4,428 kg (9,762 lb)",GTO,AsiaSat,Success[59],No attempt,AsiaSat 6,F9 v1.1,5 August 2014,08:00
13,,,Cape Canaveral,,"2,216 kg (4,885 lb)[62]",LEO (ISS),NASA (CRS),Success[63],Uncontrolled(ocean)[d][64],SpaceX CRS-4,F9 v1.1[,7 September 2014,05:00
14,,,Cape Canaveral,,"2,395 kg (5,280 lb)[69]",LEO (ISS),NASA (CRS),Success[70],Failure (drone ship),SpaceX CRS-5,F9 v1.1[,21 September 2014,05:52
15,,,Cape Canaveral,,"570 kg (1,260 lb)",HEO(Sun–Earth L1 insertion),"USAF
NASA
NOAA",Success,Controlled(ocean)[d],DSCOVR,F9 v1.1[,10 January 2015,09:47
16,,,Cape Canaveral,,"4,159 kg (9,169 lb)",GTO,"ABS
Eutelsat",Success,No attempt[77],ABS-3A,F9 v1.1[,11 February 2015,23:03
17,,,Cape Canaveral,,"1,898 kg (4,184 lb)[82]",LEO (ISS),NASA (CRS),Success,Failure[83](drone ship),SpaceX CRS-6,F9 v1.1[,2 March 2015,03:50
18,,,Cape Canaveral,,"4,707 kg (10,377 lb)",GTO,Turkmenistan NationalSpace Agency[88],Success,No attempt[89],TürkmenÄlem 52°E / MonacoSAT,F9 v1.1[,14 April 2015,20:10
19,,,Cape Canaveral,,"1,952 kg (4,303 lb)[92]",LEO (ISS),NASA (CRS),Failure[93](in flight),Precluded[94](drone ship),SpaceX CRS-7,F9 v1.1[,27 April 2015,23:03
20,,,Cape Canaveral,,"2,034 kg (4,484 lb)",LEO,Orbcomm,Success,Success[99](ground pad),Orbcomm-OG2,F9 v1.1[,28 June 2015,14:21
21,,,VAFB,,"553 kg (1,219 lb)",LEO,"NASA (LSP)
NOAA
CNES",Success,Failure(drone ship),Jason-3,F9 FT[,22 December 2015,01:29
22,,,Cape Canaveral,,"5,271 kg (11,621 lb)",GTO,SES,Success,Failure(drone ship),SES-9,F9 v1.1[,17 January 2016,18:42
23,,,Cape Canaveral,,"3,136 kg (6,914 lb)[116]",LEO (ISS),NASA (CRS),Success[117],Success[118](drone ship),SpaceX CRS-8,F9 FT[,4 March 2016,23:35
24,,,Cape Canaveral,,"4,696 kg (10,353 lb)[124]",GTO,SKY Perfect JSAT Group,Success,Success(drone ship),JCSAT-14,F9 FT[,8 April 2016,20:43
25,,,Cape Canaveral,,"3,100 kg (6,800 lb)[132]",GTO,Thaicom,Success,Success[133](drone ship),Thaicom 8,F9 FT[,6 May 2016,05:21
26,,,Cape Canaveral,,"3,600 kg (7,900 lb)",GTO,"ABS
Eutelsat",Success,Failure[64](drone ship),ABS-2A,F9 FT[,27 May 2016,21:39
